id,picname,latitude,longitude,heading,pitch,zoom,title,date,rights,creator,description,other,xml_resource,photo_file,photo_file_resource,thumbnail_file,thumbnail_file_resource
1,1500001.png,23.001771,120.213154,226.71,-10.16,,大北門,1908,中央研究院臺灣史研究所,臺灣總督府官房文書課編《臺灣寫真帖》,清雍正初年興建木柵城，1736年改建為重簷歇山式屋頂之雙層石城門，又名「拱辰門」。1915年因市區改正拆除，戰後政府於原址豎立「臺灣府城大北門遺址」石柱。,,tnch1500001,tainan_old_photos/photos/001_1500001_大北門.png,p_1500001,tainan_old_photos/thumbnails/001_1500001_大北門.png,s_1500001
2,1500002.png,22.992720,120.205508,60.12,-2.88,,大正通,1935,國立臺灣圖書館,臺日社臺南支局出版《臺南市要覽》,於1910年代後期進行市區改正時闢建，連接交通門戶的臺南車站與繁華熱鬧的末廣町商業街，道路兩側種殖著鳳凰木，逢夏季花開時紅綠相間，現為中山路。,,tnch1500002,tainan_old_photos/photos/002_1500002_大正通.png,p_1500002,tainan_old_photos/thumbnails/002_1500002_大正通.png,s_1500002
3,1500003.png,22.986965,120.217627,286.34,-8.95,,大東門,1915,中央研究院臺灣史研究所,臺灣總督府民政部編《記念臺灣寫真帖》,清代每年立春前一天於城外「春牛埔」（今勝利路附近）舉行迎春禮、立春當天舉辦鞭春禮祈求農耕順利豐收。春牛埔亦為1721年朱一貴事件擊敗清軍之處，清官吏逃往內地及澎湖，朱一貴進占府城登基稱王。日後清廷於此修築大東門。,,tnch1500003,tainan_old_photos/photos/003_1500003_大東門.png,p_1500003,tainan_old_photos/thumbnails/003_1500003_大東門.png,s_1500003
4,1500004.png,22.986839,120.217459,324.22,-8.78,,東安門,1930,中央研究院臺灣史研究所,臺灣建築會編《臺灣建築會誌》第二輯第二號,大東門又名「東安門」，現為市定古蹟，位於今日東門路與勝利路交叉路口，車繞環狀道路通行。城門呈現東西走向，東、西兩側分別題字「東安門」與「迎春門」。,,tnch1500004,tainan_old_photos/photos/004_1500004_東安門.png,p_1500004,tainan_old_photos/thumbnails/004_1500004_東安門.png,s_1500004
5,1500005.png,22.987010,120.217561,286.87,-7.13,,東安門,1936,國立臺灣大學圖書館,臺灣總督府內務局《史蹟調查報告》第二輯,重簷歇山頂樣式，基座以花崗石打造，城門女兒牆開有多處槍孔，用以抵禦外敵。目前光華街與東門路一段一百五十六巷口留存東門段城垣殘蹟，推估建於1788年。,,tnch1500005,tainan_old_photos/photos/005_1500005_東安門.png,p_1500005,tainan_old_photos/thumbnails/005_1500005_東安門.png,s_1500005
6,1500006.png,22.986636,120.203644,339.84,-4.18,,大南門,1915,中央研究院臺灣史研究所,臺灣總督府民政部編《記念臺灣寫真帖》,大南門又稱「寧南門」，是昔日通往高雄、鳳山的要道。1836年於城外興築甕城，半月弧形的防禦城牆設有六門砲，具有誘敵入內、甕中捉鱉效果，是目前全臺僅存的甕城。,,tnch1500006,tainan_old_photos/photos/006_1500006_大南門.png,p_1500006,tainan_old_photos/thumbnails/006_1500006_大南門.png,s_1500006
7,1500007.png,22.986572,120.203644,340.26,-3.97,,寧南門,1936,國立臺灣大學圖書館,臺灣總督府內務局《史蹟調查報告》第二輯,臺南築城起於清雍正初年，曾以木柵、外圍種植刺竹、綠珊瑚防護禦敵，林爽文事件後在1788年大幅改造，費時三年完工，成為圖片所見重簷歇山屋頂之雙層城樓。,,tnch1500007,tainan_old_photos/photos/007_1500007_寧南門.png,p_1500007,tainan_old_photos/thumbnails/007_1500007_寧南門.png,s_1500007
8,1500008.png,22.986863,120.203580,338.67,-6.92,,大南門,1939,國立臺灣圖書館,臺南市役所《台南市要览》,清代臺南原有八座正城城門，今僅存大東門、大南門、小西門。日治1935年因舉辦臺灣博覽會整建大南門，集結明清石碑展示，並指定為「史蹟」。戰後1963年城樓中脊因大雨塌落，今已依原貌重建並公告為市定古蹟。,,tnch1500008,tainan_old_photos/photos/008_1500008_大南門.png,p_1500008,tainan_old_photos/thumbnails/008_1500008_大南門.png,s_1500008
9,1500009.png,22.986678,120.203689,330.33,-7.47,,南大門,1895-1945,中央研究院臺灣史研究所,臺北生蕃屋本店〈臺南舊都の面影南大門〉,南大門即為大南門，設有兩道城門，外圍城門題字「大南門」，第二道入城城門題字「寧南門」，自日治時期即為臺灣著名的旅遊景點之一。,,tnch1500009,tainan_old_photos/photos/009_1500009_南大門.png,p_1500009,tainan_old_photos/thumbnails/009_1500009_南大門.png,s_1500009
10,1500010.png,22.993874,120.201247,12.47,-10.44,,大宮町,1895-1945,中央研究院臺灣史研究所,費邁克集藏〈臺南市街ノ一部（大宮町一丁目）〉,清代為關帝廟街、下橫街、轅門街、磚雅橋街等街道串連，市區改正時更名為大宮町，照片中央可看見街首北端的臺南武廟，拍攝地點為大宮町與錦町交叉路口，現為永福路與民生路交叉路口。,,tnch1500010,tainan_old_photos/photos/010_1500010_大宮町.png,p_1500010,tainan_old_photos/thumbnails/010_1500010_大宮町.png,s_1500010
